variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
ppnK~~~nadK	9.89E-01	1.22E-02	9.99E-01	5.19E-06	6.19E-03	3.55E-05	bad-chisq
engB_2~~~engB	9.89E-01	4.95E-01	8.28E-01	-1.26E-02	5.81E-02	9.17E-03	bad-chisq
rsmD	9.89E-01	4.95E-01	9.92E-01	-5.33E-04	5.48E-02	4.12E-04	bad-chisq
yidC~~~yidC_2	9.89E-01	3.61E-01	9.79E-01	-3.58E-03	1.39E-01	1.09E-03	bad-chisq
trmL	9.89E-01	4.95E-01	9.49E-01	-3.42E-04	5.35E-03	2.70E-03	bad-chisq
group_12013	9.89E-01	1.22E-02	9.66E-01	-2.65E-04	6.20E-03	1.81E-03	bad-chisq
pcrA_2~~~pcrA~~~pcrA_3~~~pcrA_1~~~rep_2	9.89E-01	3.61E-01	1.61E-01	9.63E-02	6.86E-02	5.92E-02	bad-chisq
uvrB~~~uvrB_2~~~uvrB_1	9.89E-01	3.61E-01	9.97E-01	-1.58E-05	4.39E-03	1.53E-04	bad-chisq
gmk	9.89E-01	4.95E-01	9.72E-01	-2.89E-03	8.25E-02	1.48E-03	bad-chisq
stp~~~stp_2	9.89E-01	4.95E-01	7.40E-01	-2.04E-02	6.13E-02	1.40E-02	bad-chisq
group_11323	9.89E-01	3.61E-01	5.46E-02	-1.39E-01	7.23E-02	8.12E-02	bad-chisq
miaA	9.89E-01	3.61E-01	2.60E-01	-1.05E-01	9.27E-02	4.77E-02	bad-chisq
bioF	9.89E-01	1.22E-02	9.00E-01	1.04E-02	8.29E-02	5.32E-03	bad-chisq
plsX	9.89E-01	3.61E-01	9.00E-01	-8.86E-03	7.05E-02	5.32E-03	bad-chisq
recR	9.89E-01	4.08E-05	9.05E-01	5.49E-04	4.62E-03	5.03E-03	bad-chisq
group_7403	9.89E-01	3.61E-01	3.67E-01	5.72E-02	6.32E-02	3.82E-02	bad-chisq
mrdA_1~~~mrdA~~~mrdA_2~~~penA	9.89E-01	4.95E-01	9.72E-01	-2.49E-03	7.09E-02	1.49E-03	bad-chisq
napF	9.89E-01	4.95E-01	9.91E-01	-4.27E-04	3.69E-02	4.89E-04	bad-chisq
sepF	9.88E-01	2.65E-02	3.21E-01	-5.25E-02	5.29E-02	4.20E-02	bad-chisq
rlmH_2~~~rlmH	9.88E-01	4.59E-01	9.05E-01	-8.96E-03	7.49E-02	5.06E-03	bad-chisq
asnS_2~~~asnS_1~~~asnS	9.88E-01	2.65E-02	9.75E-01	3.12E-03	9.83E-02	1.34E-03	bad-chisq
group_12622	9.88E-01	2.65E-02	1.07E-01	-1.09E-01	6.73E-02	6.81E-02	bad-chisq
walK_2~~~sasA_7~~~sasA_10~~~sasA_4~~~sasA_2~~~srrB~~~sasA_6~~~walK	9.88E-01	2.65E-02	9.41E-01	-4.57E-04	6.19E-03	3.12E-03	bad-chisq
group_12541	9.88E-01	4.59E-01	2.19E-01	-6.04E-02	4.91E-02	5.19E-02	bad-chisq
sigF	9.88E-01	4.59E-01	1.83E-01	8.82E-02	6.61E-02	5.64E-02	bad-chisq
ispG~~~ispG_2~~~ispG_1	9.88E-01	4.61E-01	9.96E-01	-2.82E-05	6.18E-03	1.93E-04	bad-chisq
glpK~~~glpK_3~~~glpK_2~~~glpK_1	9.88E-01	2.65E-02	8.57E-01	1.21E-02	6.71E-02	7.65E-03	bad-chisq
rnpA~~~rnpA_2	9.88E-01	2.65E-02	9.66E-01	5.12E-03	1.20E-01	1.80E-03	bad-chisq
rsmG~~~rsmG_1~~~rsmG_2	9.88E-01	2.65E-02	6.17E-01	3.09E-03	6.18E-03	2.11E-02	bad-chisq
argR_1~~~argR_2~~~argR	9.88E-01	2.19E-04	1.63E-01	8.61E-03	6.16E-03	5.90E-02	bad-chisq
nusB	9.88E-01	2.19E-04	9.99E-01	-7.18E-06	6.20E-03	4.90E-05	bad-chisq
group_11690	9.88E-01	2.19E-04	9.99E-01	-7.18E-06	6.20E-03	4.90E-05	bad-chisq
group_11594	9.88E-01	4.59E-01	6.86E-01	-2.70E-02	6.67E-02	1.71E-02	bad-chisq
group_11427	9.88E-01	4.59E-01	5.98E-01	-2.95E-02	5.60E-02	2.23E-02	bad-chisq
rnc	9.88E-01	4.59E-01	8.80E-01	-1.03E-02	6.82E-02	6.41E-03	bad-chisq
group_10512	9.88E-01	4.59E-01	9.88E-01	-9.43E-05	6.14E-03	6.49E-04	bad-chisq
group_10235	9.88E-01	4.61E-01	9.58E-01	-3.97E-03	7.52E-02	2.23E-03	bad-chisq
bioY	9.88E-01	2.65E-02	9.99E-01	1.10E-05	6.20E-03	7.49E-05	bad-chisq
tdcG~~~sdaB~~~sdaA	9.88E-01	2.28E-07	8.62E-01	1.19E-02	6.83E-02	7.35E-03	bad-chisq
valS~~~valS_1~~~valS_2	9.88E-01	2.65E-02	1.24E-01	1.10E-01	7.16E-02	6.50E-02	bad-chisq
group_8039	9.88E-01	2.65E-02	9.92E-01	1.16E-03	1.10E-01	4.47E-04	bad-chisq
ruvC	9.88E-01	4.61E-01	9.83E-01	-1.43E-03	6.66E-02	9.08E-04	bad-chisq
recA	9.88E-01	2.65E-02	9.83E-01	-1.31E-04	6.19E-03	8.93E-04	bad-chisq
group_7755	9.88E-01	4.59E-01	9.99E-01	-5.17E-06	6.18E-03	3.54E-05	bad-chisq
norV~~~hrb~~~pepD~~~fprA1~~~norV_1~~~hrb_1	9.86E-01	4.79E-02	9.08E-01	-7.85E-03	6.81E-02	4.88E-03	
xylG~~~mglA_5~~~mglA_1~~~xylG_3~~~mglA_4~~~mglA_6~~~mglA_3~~~xylG_2~~~btuD_1	9.86E-01	5.52E-01	9.84E-01	-7.97E-05	4.06E-03	8.31E-04	bad-chisq
group_12654	9.86E-01	4.79E-02	9.87E-01	9.69E-05	6.17E-03	6.64E-04	
ettA_1~~~yheS~~~btuD_7~~~ybiT_1~~~yheS_1~~~yheS_2~~~btuD_4~~~btuD_5~~~ettA_2~~~btuD_9~~~btuD_3~~~btuD_2	9.86E-01	5.52E-01	9.94E-01	-4.60E-05	6.18E-03	3.15E-04	bad-chisq
group_12299	9.86E-01	4.79E-02	9.94E-01	-7.05E-04	9.96E-02	2.99E-04	
asrB~~~pyrK_2~~~pyrK	9.86E-01	5.52E-01	9.02E-01	5.36E-03	4.37E-02	5.19E-03	bad-chisq
ligA_1~~~ligA~~~ligA_2	9.86E-01	5.52E-01	9.02E-01	7.61E-04	6.18E-03	5.21E-03	bad-chisq
ymdB_2~~~ymdB_1~~~ymdB	9.86E-01	4.79E-02	9.95E-01	3.28E-05	5.37E-03	2.58E-04	
xseB	9.86E-01	2.07E-06	9.99E-01	-4.79E-06	6.19E-03	3.27E-05	bad-chisq
xseA~~~xseA_2~~~xseA_1	9.86E-01	7.73E-04	9.99E-01	-5.76E-06	6.19E-03	3.93E-05	bad-chisq
clpE~~~clpE_2~~~clpB_2~~~clpE_1~~~clpC_2~~~clpB_1~~~hslU	9.86E-01	4.79E-02	9.93E-01	-4.42E-04	4.92E-02	3.80E-04	
group_11691	9.86E-01	7.73E-04	9.99E-01	-8.71E-06	6.19E-03	5.95E-05	bad-chisq
udk_1~~~udk_2	9.86E-01	4.79E-02	9.95E-01	-2.26E-05	3.80E-03	2.51E-04	
group_11552	9.86E-01	5.52E-01	6.54E-01	-2.73E-02	6.10E-02	1.89E-02	bad-chisq
walR_2~~~walR_3~~~srrA_3~~~walR_4~~~srrA_2~~~sphR~~~phoP	9.86E-01	5.52E-01	9.83E-01	-1.31E-04	6.19E-03	8.93E-04	bad-chisq
sasA_8~~~sasA_4~~~phoR_2~~~sasA_7~~~sasA_9~~~sasA_1~~~phoR~~~sasA_6~~~sasA_5~~~walK~~~walK_3~~~sasA_3	9.86E-01	4.79E-02	9.94E-01	4.49E-05	6.16E-03	3.09E-04	
group_11221	9.86E-01	5.52E-01	9.91E-01	-6.81E-05	6.18E-03	4.66E-04	bad-chisq
murT~~~murT_1~~~murT_2	9.86E-01	4.79E-02	9.99E-01	-4.93E-06	6.20E-03	3.37E-05	
group_10997	9.86E-01	5.52E-01	9.98E-01	-1.35E-05	6.19E-03	9.21E-05	bad-chisq
tsaE~~~tsaB~~~OSGEPL1	9.86E-01	5.52E-01	7.11E-01	1.79E-02	4.82E-02	1.57E-02	bad-chisq
group_10919	9.86E-01	4.79E-02	9.92E-01	-6.52E-05	6.16E-03	4.47E-04	
nudF~~~act	9.86E-01	4.79E-02	9.74E-01	2.13E-03	6.64E-02	1.36E-03	
group_10570	9.86E-01	4.30E-01	1.00E+00	-1.44E-06	3.70E-03	1.65E-05	bad-chisq
dnaN~~~dnaN_3~~~dnaN_1	9.86E-01	4.30E-01	9.62E-01	-3.26E-03	6.82E-02	2.02E-03	bad-chisq
murAA~~~murA~~~murAA_2~~~murA_1~~~murAB_2~~~murA1	9.86E-01	4.30E-01	9.90E-01	-8.01E-05	6.19E-03	5.47E-04	bad-chisq
group_8033	9.86E-01	5.52E-01	9.96E-01	-2.87E-05	6.17E-03	1.97E-04	bad-chisq
ecsA_1~~~ecsA~~~opuCA~~~yxlF	9.84E-01	7.61E-02	9.99E-01	3.41E-06	5.37E-03	2.69E-05	
gltX_2~~~gltX_1~~~gltX	9.84E-01	6.40E-01	6.96E-01	-2.22E-02	5.68E-02	1.65E-02	bad-chisq
polC_2~~~polC_3~~~polC_1~~~polC	9.84E-01	7.61E-02	1.00E+00	2.92E-06	5.36E-03	2.30E-05	
uppS~~~uppS_2~~~uppS_1~~~ispU	9.84E-01	6.40E-01	9.10E-01	4.93E-04	4.38E-03	4.76E-03	bad-chisq
srrA_1~~~srrA~~~srrA_2	9.84E-01	6.40E-01	9.38E-01	-4.18E-04	5.37E-03	3.29E-03	bad-chisq
yidD	9.84E-01	6.40E-01	3.69E-01	-7.55E-02	8.39E-02	3.80E-02	bad-chisq
group_12003	9.84E-01	1.26E-08	7.64E-01	2.28E-02	7.61E-02	1.27E-02	bad-chisq
spoIIAA	9.84E-01	7.61E-02	2.37E-01	6.89E-02	5.82E-02	5.00E-02	
ytfJ	9.84E-01	6.40E-01	9.88E-01	-9.40E-05	6.18E-03	6.43E-04	bad-chisq
recN~~~recN_2~~~recN_1	9.84E-01	7.61E-02	9.98E-01	-8.43E-06	3.70E-03	9.63E-05	
tlyA	9.84E-01	2.07E-03	9.96E-01	-2.44E-05	4.38E-03	2.35E-04	
ispA	9.84E-01	1.16E-05	9.79E-01	-1.64E-04	6.19E-03	1.12E-03	bad-chisq
tsaD_1~~~tsaD_2~~~OSGEPL1~~~tsaD	9.84E-01	1.16E-05	9.99E-01	7.69E-06	6.19E-03	5.26E-05	bad-chisq
secG	9.84E-01	6.40E-01	6.04E-01	-2.80E-02	5.40E-02	2.19E-02	bad-chisq
dacF_2~~~dacF_1	9.84E-01	6.40E-01	9.97E-01	-1.60E-05	3.71E-03	1.83E-04	bad-chisq
glgB	9.84E-01	4.02E-01	9.92E-01	-5.90E-05	6.13E-03	4.07E-04	bad-chisq
