variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_3986	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3954	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3953	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3894	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
pdp	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
acpP	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
dltC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3706	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
odhB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3681	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3639	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3599	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
crh	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3575	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
groS	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3487	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3472	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3414	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3348	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3341	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3328	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3297	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3268	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3266	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3258	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3223	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mrnC	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mraZ	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3158	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3157	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
tadA	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yvbK	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
fucU_2	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
nusB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3109	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
argR	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3091	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
mutX	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3065	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
ispF	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3052	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3051	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_3019	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
def	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2995	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2988	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2972	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2969	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2968	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2965	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rsmD	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
bioY	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
udg	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
azoR	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2844	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
gmk	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rnmV	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
rnhB	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
yigZ	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
group_2787	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
recX	2.09E-01	7.17E-03	5.71E-01	4.59E-01	8.09E-01	2.40E-02	
