Row_no	Genome	Length	N_contigs	N50	GC_content	Completeness	Contamination	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	Animal	Isolation_source	City	CheckM_quality	GUNC_pass	Species
55	MGYG000007717	3065718	126	47367	56.07	94.63	3.02	GUT_GENOME091387	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS608558	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp900545925
56	MGYG000008374	2266323	189	17913	61.38	91.55	4.64	GUT_GENOME164852	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576042	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
59	MGYG000009044	3080575	322	14294	56.12	93.06	2.15	GUT_GENOME113075	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS328966	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
62	MGYG000009352	2576542	195	19882	60.6	91.7	2.35	GUT_GENOME122337	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS396536	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp002404795
64	MGYG000009942	2415216	35	158914	58.78	93.96	1.34	GUT_GENOME023240	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1444508	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp000432135
66	MGYG000010957	2467888	162	27717	61.21	92.3	2.48	GUT_GENOME235771	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS476104	SRP029441	Fiji	Oceania	Human	gut	NA	High	yes	sp002404795
73	MGYG000012355	2220398	133	26809	59.29	92.45	3.62	GUT_GENOME180929	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SRS1596794	SRP080787	Mongolia	Asia	Human	gut	NA	High	yes	sp900548625
79	MGYG000013916	3220588	360	12503	57.51	93.68	4.36	GUT_GENOME095786	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	Italy	Europe	Human	gut	NA	High	yes	sp000432135
89	MGYG000015735	3541457	441	10481	55.98	93.06	2.01	GUT_GENOME068690	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS235631	ERP002469	Sweden	Europe	Human	gut	NA	High	yes	sp900545925
93	MGYG000016788	3377986	145	48631	55.58	94.63	1.34	GUT_GENOME023168	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS1444506	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp900545925
94	MGYG000017286	2938475	199	28727	57.98	94.97	3.47	GUT_GENOME160430	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1876434	SRP095580	Netherlands	Europe	Human	gut	NA	High	yes	sp000432135
102	MGYG000018644	3481266	237	22974	55.69	91.95	2.01	GUT_GENOME210401	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	SRS1905816	SRP096283	USA	North America	Human	gut	NA	High	yes	sp900545925
